,Filename,Questions,Interviewerin,Arzt
74,67_Der lange Schatten des Virus - Skript herunterladen.pdf,"Doch sind auch alle gesund? Frau Ciesek, ab wann spricht man denn eigentlich fachlich gesehen von Long Covid und wann zunächst mal nur von PostCovidErscheinungen? Herr Rhode, was sind das für Patienten, die zu Ihnen in die Ambulanz kommen? Wie lange liegen deren Erkrankungen zurück? Was heißt Folgeschäden? Wie kam es überhaupt zustande, dass Sie diese PostCovidAmbulanz aufgebaut haben? Die haben sich Sorgen gemacht und haben sich relativ früh an uns gewendet.Sind das in der Regel, vielleicht fangen wir auch mal bei der Lunge an, Symptome, die eigentlich schon während der akuten Phase auftreten und einfach  bleiben? Herr Rohde, was genau passiert denn da längerfristig in der Lunge? Dadurch können wir nicht belastbar vergleichen aus meiner Sicht.Frau Ciesek, haben Sie einen Erklärungsansatz, warum es denn aber solche Folgen geben kann? Gibt es da Bereiche, wo Sie den Menschen nach jetzigem Erkenntnisstand Ängste nehmen können? Aber ich bin wirklich nicht sicher, ob das von der Infektion überhaupt kommt.ﬁ Wie kann man mit diesem Grenzbereich umgehen in so einer Ambulanz? Ich kann mir vorstellen, eben wenn ich in mich hineinhorche, das ist ja schon bei schwachen Symptomen für eine Infektion so, dann beobachte  ich vielleicht auch Dinge, die mir sonst gar nicht aufgefallen wären.CHRONICE FATIGUE SYNDROMEGernot RohdeDie Frage ist immer: Ist es virologisch ausgelöst oder ist es psychologisch ausgelöst? Aber unterm Strich ist es aus meiner Sicht nicht so erheblich, sondern wichtig ist, dass man auf der einen Seite schaut, was gibt es wirklich an objektivierbaren körperlichen, also somatischen Veränderungen, an denen man arbeiten muss und die man gegebenenfalls therapieren muss? Was für Beobachtungen können Sie uns da berichten aus der Literatur?Eine große Frage, die man noch gar nicht so richtig  beantworten kann, ist: Wie häufig sind eigentlich solche Langzeitfolgen? Wie viele Infizierte könnten von  Long Covid betroffen sein? Kann man daraus eigentlich schon eine Prognose ableiten, also das Ganze umdrehen und sagen: Wer hat ein höheres Risiko für Langzeitfolgen? Kann das hier tatsächlich auch eine Rolle spielen?Korinna Hennig Diese neurologischen Folgen, über die wir gesprochen haben, kennt man die so auch von anderen Viruserkrankungen? Was weiß man über die Rolle der Geruchszellen und diesen Andockpunkt ans Zentrale Nervensystem? Also es ist normal, wenn ich eine Virusinfektion habe und einen schwachen oder auch mittleren Verlauf, dass ich schon insgesamt vier Wochen warten muss, innerhalb des normalen Bereichs, ohne Long Und wahrscheinlich auch das eine Beobachtung, die bei anderen Infektionskrankheiten ähnlich übertragbar ist.Ist denn Long Covid, auch wenn wir noch gar nicht so genau wissen können, was denn das Long in diesem Begriff bedeutet, also wie lang, etwas, das im Infektionsschutz mehr beachtet werden muss aus Ihrer Sicht oder überschätzen wir das Phänomen? Werden Sie das viel im Freundeskreis auch gefragt?",KORINNA HENNIG,SANDRA CIESEK
75,67_Der lange Schatten des Virus.pdf,"Doch sind auch alle gesund? Frau Ciesek, ab wann spricht man denn eigentlich fachlich gesehen von Long Covid und wann zunächst mal nur von PostCovidErscheinungen? Herr Rhode, was sind das für Patienten, die zu Ihnen in die Ambulanz kommen? Wie lange liegen deren Erkrankungen zurück? Was heißt Folgeschäden? Wie kam es überhaupt zustande, dass Sie diese PostCovidAmbulanz aufgebaut haben? Die haben sich Sorgen gemacht und haben sich relativ früh an uns gewendet.Sind das in der Regel, vielleicht fangen wir auch mal bei der Lunge an, Symptome, die eigentlich schon während der akuten Phase auftreten und einfach  bleiben? Herr Rohde, was genau passiert denn da längerfristig in der Lunge? Dadurch können wir nicht belastbar vergleichen aus meiner Sicht.Frau Ciesek, haben Sie einen Erklärungsansatz, warum es denn aber solche Folgen geben kann? Gibt es da Bereiche, wo Sie den Menschen nach jetzigem Erkenntnisstand Ängste nehmen können? Aber ich bin wirklich nicht sicher, ob das von der Infektion überhaupt kommt.ﬁ Wie kann man mit diesem Grenzbereich umgehen in so einer Ambulanz? Ich kann mir vorstellen, eben wenn ich in mich hineinhorche, das ist ja schon bei schwachen Symptomen für eine Infektion so, dann beobachte  ich vielleicht auch Dinge, die mir sonst gar nicht aufgefallen wären.CHRONICE FATIGUE SYNDROMEGernot RohdeDie Frage ist immer: Ist es virologisch ausgelöst oder ist es psychologisch ausgelöst? Aber unterm Strich ist es aus meiner Sicht nicht so erheblich, sondern wichtig ist, dass man auf der einen Seite schaut, was gibt es wirklich an objektivierbaren körperlichen, also somatischen Veränderungen, an denen man arbeiten muss und die man gegebenenfalls therapieren muss? Was für Beobachtungen können Sie uns da berichten aus der Literatur?Eine große Frage, die man noch gar nicht so richtig  beantworten kann, ist: Wie häufig sind eigentlich solche Langzeitfolgen? Wie viele Infizierte könnten von  Long Covid betroffen sein? Kann man daraus eigentlich schon eine Prognose ableiten, also das Ganze umdrehen und sagen: Wer hat ein höheres Risiko für Langzeitfolgen? Kann das hier tatsächlich auch eine Rolle spielen?Korinna Hennig Diese neurologischen Folgen, über die wir gesprochen haben, kennt man die so auch von anderen Viruserkrankungen? Was weiß man über die Rolle der Geruchszellen und diesen Andockpunkt ans Zentrale Nervensystem? Also es ist normal, wenn ich eine Virusinfektion habe und einen schwachen oder auch mittleren Verlauf, dass ich schon insgesamt vier Wochen warten muss, innerhalb des normalen Bereichs, ohne Long Und wahrscheinlich auch das eine Beobachtung, die bei anderen Infektionskrankheiten ähnlich übertragbar ist.Ist denn Long Covid, auch wenn wir noch gar nicht so genau wissen können, was denn das Long in diesem Begriff bedeutet, also wie lang, etwas, das im Infektionsschutz mehr beachtet werden muss aus Ihrer Sicht oder überschätzen wir das Phänomen? Werden Sie das viel im Freundeskreis auch gefragt?",KORINNA HENNIG,SANDRA CIESEK
76,68_Harter Lockdown jetzt_ - Skript herunterladen.pdf,"Wenn jetzt über Weihnachten wieder Ausnahmen gelten, drohen wir genau da im neuen Jahr zu landen? Diese ist aber vergleichsweise konkret und ein ziemlicher Weckruf, oder? Wie geht es denn aber dann weiter nach Weihnachten? Was für Möglichkeiten gibt es da für die Schulen? Können wir uns jetzt die Frage stellen, auf wie viel Prozent wird die Kontakthäufigkeit reduziert, wenn wir das Optimal Modell nehmen? Wenn wir jetzt die Leopoldina-Stellungnahme im Rücken haben und diese Studie vor uns und darauf gucken, was da modelliert wird, wäre das eine realistische Zahl nach Weihnachten, vielleicht bis, in Hamburg gibt es zum Beispiel frühe Frühjahrsferien, aber bis zum März irgendwie so weiterzumachen? Ist die wissenschaftliche Empfehlung da, die Grundschulen könnte man außen vorlassen und erst ab der weiterführenden Schule über diese auch längerfristigen Maßnahmen nachdenken? Weg von dem Gedanken, Kontakte  allgemein reduzieren und hin zu einem Gedanken, der sagt, ja, was eigentlich genau? Sind da weiter Übertragungen möglich oder schützen sie nur für Erkrankung? Und eine nicht ganz geklärte Frage ist bislang immer noch: Wie genau ist die Immunantwort bei asymptomatischen Patienten? Haben sie weniger Antikörper und T-Zellen gegen das Virus gebildet als Menschen mit symptomatischen, womöglich sogar schwerem Krankheitsverlauf? Ist das vergleichbar? Und was heißt das für den längerfristigen Schutz? Man hat 478 Wohnheimbewohner einfach verfolgt und hat denen zum Beginn und nach zwei Wochen und noch mal nach sechs Wochen Blut abgenommen und hat einfach geschaut, wer hat hier eigentlich Antikörper? Wer hat hier Zeichen einer  abgelaufenen Infektion? Dann hat man Was sagt uns das? Kann man denn jetzt aber andersrum gedacht daraus die Vermutung ableiten, dass manche Menschen ohne Symptome bleiben, weil ihre Immunantwort effektiver ist, also die Asymptomatischen? Kann ich in so  einem Fall trotzdem mit einem Antigentest ein bisschen mehr Sicherheit erlangen?",KORINNA HENNIG,CHRISTIAN DROSTEN
77,68_Harter Lockdown jetzt_.pdf,"Wenn jetzt über Weihnachten wieder Ausnahmen gelten, drohen wir genau da im neuen Jahr zu landen? Diese ist aber vergleichsweise konkret und ein ziemlicher Weckruf, oder? Wie geht es denn aber dann weiter nach Weihnachten? Was für Möglichkeiten gibt es da für die Schulen? Können wir uns jetzt die Frage stellen, auf wie viel Prozent wird die Kontakthäufigkeit reduziert, wenn wir das Optimal Modell nehmen? Wenn wir jetzt die Leopoldina-Stellungnahme im Rücken haben und diese Studie vor uns und darauf gucken, was da modelliert wird, wäre das eine realistische Zahl nach Weihnachten, vielleicht bis, in Hamburg gibt es zum Beispiel frühe Frühjahrsferien, aber bis zum März irgendwie so weiterzumachen? Ist die wissenschaftliche Empfehlung da, die Grundschulen könnte man außen vorlassen und erst ab der weiterführenden Schule über diese auch längerfristigen Maßnahmen nachdenken? Weg von dem Gedanken, Kontakte  allgemein reduzieren und hin zu einem Gedanken, der sagt, ja, was eigentlich genau? Sind da weiter Übertragungen möglich oder schützen sie nur für Erkrankung? Und eine nicht ganz geklärte Frage ist bislang immer noch: Wie genau ist die Immunantwort bei asymptomatischen Patienten? Haben sie weniger Antikörper und T-Zellen gegen das Virus gebildet als Menschen mit symptomatischen, womöglich sogar schwerem Krankheitsverlauf? Ist das vergleichbar? Und was heißt das für den längerfristigen Schutz? Man hat 478 Wohnheimbewohner einfach verfolgt und hat denen zum Beginn und nach zwei Wochen und noch mal nach sechs Wochen Blut abgenommen und hat einfach geschaut, wer hat hier eigentlich Antikörper? Wer hat hier Zeichen einer  abgelaufenen Infektion? Dann hat man Was sagt uns das? Kann man denn jetzt aber andersrum gedacht daraus die Vermutung ableiten, dass manche Menschen ohne Symptome bleiben, weil ihre Immunantwort effektiver ist, also die Asymptomatischen? Kann ich in so  einem Fall trotzdem mit einem Antigentest ein bisschen mehr Sicherheit erlangen?",KORINNA HENNIG,CHRISTIAN DROSTEN
78,69_Das Virus macht keine Geschenke - Skript herunterladen.pdf,"Mit Blick auf Weihnachten, zählt da nicht eigentlich jeder Tag?Was hören Sie, wenn Sie jetzt mit Kolleginnen und Kollegen sprechen, die im Krankenhaus auf der Intensivstation arbeiten? Trotzdem, wenn wir diesen Aspekt noch mal verschärft betrachten, was fehlt bislang? Zunächst mal, was ist das für ein Test, der dem zugrunde liegt? Auch unter denen, die unseren Podcast hören, wurde zuletzt wieder  nachgefragt: Was tut sich eigentlich bei den pharmazeutischen Interventionen abseits des Impfstoffes? Also bei Medikamenten in der Therapie gegen Covid-19? Was ist das genau? Was ich interessant finde: Wie wird so ein Therapeutikum verabreicht? Wird das intravenös gegeben? Oder kann man das durch ein Spray sogar lokal machen? Zur Sicherheit noch mal, ganz allgemein gesprochen: Kann man es doch aber als gesichert ansehen, dass SARS-2 nicht nur über Tröpfchen, sondern auch über die Atemluft übertragen werden kann? Wir gehen wir mit der Situation ins neue Jahr? Haben Sie für sich und Ihre Familie so eine Strategie?",KORINNA HENNIG,SANDRA CIESEK
79,69_Das Virus macht keine Geschenke.pdf,"Mit Blick auf Weihnachten, zählt da nicht eigentlich jeder Tag?Was hören Sie, wenn Sie jetzt mit Kolleginnen und Kollegen sprechen, die im Krankenhaus auf der Intensivstation arbeiten? Trotzdem, wenn wir diesen Aspekt noch mal verschärft betrachten, was fehlt bislang? Zunächst mal, was ist das für ein Test, der dem zugrunde liegt? Auch unter denen, die unseren Podcast hören, wurde zuletzt wieder  nachgefragt: Was tut sich eigentlich bei den pharmazeutischen Interventionen abseits des Impfstoffes? Also bei Medikamenten in der Therapie gegen Covid-19? Was ist das genau? Was ich interessant finde: Wie wird so ein Therapeutikum verabreicht? Wird das intravenös gegeben? Oder kann man das durch ein Spray sogar lokal machen? Zur Sicherheit noch mal, ganz allgemein gesprochen: Kann man es doch aber als gesichert ansehen, dass SARS-2 nicht nur über Tröpfchen, sondern auch über die Atemluft übertragen werden kann? Wir gehen wir mit der Situation ins neue Jahr? Haben Sie für sich und Ihre Familie so eine Strategie?",KORINNA HENNIG,SANDRA CIESEK
80,6_Ärzte und Pfleger regelmäßig testen.pdf,"Was macht das mit der medizinischen Versorgungslage Œ auch mittelfristig gesehen? Wie wird das unter Fachleuten diskutiert? Genau dieser Vorschlag, den sie gerade gemacht haben? Das bedeutet, das tendenziell die Kollegen ihrer Meinung sind: Man müsste darüber nachdenken, in zwei Wochen vielleicht tatsächlich zu sagen, wir heben solche Regelungen Œ die das Robert Koch Institut ja auch eigentlich herausgegeben hat Œ auf?Korinna Hennig Gehen Sie denn davon aus, dass jetzt sukzessive immer mehr Ärzte und Pflegepersonal auch betroffen sein wird, zumindest von einer Infektion mit dem Virus Œ nicht unbedingt gleich mit einer Erkrankung? Ist sowas überhaupt denkbar? Halten Sie sowas denn vom zeitlichen Ablauf Œ weil Sie sagten, man müsste entsprechende Tests natürlich erst mal entwickeln Œ für praktikabel für den nächsten Herbst, mit dem sie ja immer noch kalkulieren müssen? Sind Sie mit den Kollegen dort in Kontakt? Trotzdem noch mal die Nachfrage: Bleiben Sie bei der Einschätzung Œ zum Beispiel für immunsupprimierte Patienten, also die, bei denen das körpereigene Abwehrsystem unterdrückt oder behindert ist? Was ist denn für ein solches Szenario denkbar, wenn ich Risikopatienten schützen möchte, oder potenzielle Risikopatienten? Also die Risikogruppen? Wird das dann schwierig? Ist die These weiter haltbar oder haben Sie da neue Erkenntnisse? Bei der Übertragung des Virus Œ welche Rolle spielen da eigentlich Tiere? Können auch Haustiere das Virus übertragen? Wie wichtig ist es denn jetzt gerade in diesem ForschungsŒ Zusammenhang herauszufinden, wo das Virus seinen Ursprung hatte? Sehen Sie das immer noch so Œ vor dem Hintergrund des Kontextes, den sie gerade gesagt haben und dem Anteil, den wir Journalisten daran haben? Wenn Sie die Kommunikation beobachten Œ läuft es gut?",KORINNA HENNIG,CHRISTIAN DROSTEN
81,70_Die Mutanten im Blick behalten - Skript herunterladen.pdf,"Wie war das jetzt in den vergangenen zwei Wochen, war das Dauereinsatz für Sie alle? Vielleicht können wir am Mikrofon noch was machen, vielleicht ist das Kabel nicht ganz drin? Wie vorherrschend ist denn B.1.1.7 schon?Und die haben das grundsätzlich schon, nicht erst seit der Corona-Pandemie.Einen Signalausfall.Ausgefallen in der neuen Variante, muss man sagen.ENTDECKUNG DER VARIANTEWas heißt das?Müssen wir denn davon ausgehen, dass es sich in Deutschland vielleicht längst schon so verhält wie in Dänemark? Wie schnell mutiert das Virus momentan normalerweise? Wie viele Veränderungen lassen sich da beobachten? Kann es da einen Zusammenhang geben? Kann man schon sagen, ob sich das Virus hier tatsächlich optimiert hat? Und bei der Übertragbarkeit ist die letzte Zahl, die ich gelesen habe, 56 Prozent, von der man jetzt ausgeht, richtig? Ist das plausibel?Also die Zahl derer, die eine einzelne Person weiter ansteckt.Diese Studie der London School of Hygiene and Tropical Medicine hat auch diese Varianten modelliert, warum könnte denn das Virus ansteckender sein? Also Parameter in die Rechnung hineingegeben, um zu gucken, passt das zu dem, was in der Wirklichkeit gerade passiert? Ist da tatsächlich am plausibelsten, dass einfach die Infektiosität durch die Bindungsfähigkeit oder durch die höhere Viruslast zunimmt? Wie viel haben die beiden denn überhaupt gemeinsam? Trotzdem ist das die große Frage: Müssen wir denn nicht trotzdem möglicherweise mit Folgen für die Impfstoffe rechnen? Warum rechnet die Forschung erst mal noch nicht damit, dass die Impfstoffe betroffen sein könnten? Wie sinnvoll sind diese Gedankenspiele? Wie sinnvoll ist so eine richtige Änderung der Impfstrategie, wie sie in Großbritannien stattfindet? Ist da nicht ein gewisses Risiko dann da, weil die zweite Impfung ja schon noch nötig ist, um den Impfstoff zu verstärken, zu verlängern?Diese Bindungsreife, die Sie angesprochen haben, also wie gut die Antikörper an das Antigen des Virus binden, was für eine Risikolücke entsteht denn da möglicherweise trotzdem für die, die erst mal nur einmal geimpft werden, überhaupt zu erkranken? Wenn Sie das angucken, was unsere Modellierer alle in der Zwischenzeit veröffentlicht haben, halten Sie es denn für denkbar, dass wir jetzt vier Wochen oder sechs Wochen einen heftigen Lockdown haben und die Zahlen dann wirklich weit runterbringen? Sie hatten vorhin angesprochen, exponentielle Senkung ist ja auch denkbar.SENKT LOCKDOWN DIE ZAHLEN? Hat sich das geändert? Wie ist Ihr Eindruck jetzt, dass weite Teile der Wissenschaft wieder mehr Gehör finden?",KORINNA HENNIG,CHRISTIAN DROSTEN
82,70_Die Mutanten im Blick behalten.pdf,"Wie war das jetzt in den vergangenen zwei Wochen, war das Dauereinsatz für Sie alle? Vielleicht können wir am Mikrofon noch was machen, vielleicht ist das Kabel nicht ganz drin? Wie vorherrschend ist denn B.1.1.7 schon?Und die haben das grundsätzlich schon, nicht erst seit der Corona-Pandemie.Einen Signalausfall.Ausgefallen in der neuen Variante, muss man sagen.ENTDECKUNG DER VARIANTEWas heißt das?Müssen wir denn davon ausgehen, dass es sich in Deutschland vielleicht längst schon so verhält wie in Dänemark? Wie schnell mutiert das Virus momentan normalerweise? Wie viele Veränderungen lassen sich da beobachten? Kann es da einen Zusammenhang geben? Kann man schon sagen, ob sich das Virus hier tatsächlich optimiert hat? Und bei der Übertragbarkeit ist die letzte Zahl, die ich gelesen habe, 56 Prozent, von der man jetzt ausgeht, richtig? Ist das plausibel?Also die Zahl derer, die eine einzelne Person weiter ansteckt.Diese Studie der London School of Hygiene and Tropical Medicine hat auch diese Varianten modelliert, warum könnte denn das Virus ansteckender sein? Also Parameter in die Rechnung hineingegeben, um zu gucken, passt das zu dem, was in der Wirklichkeit gerade passiert? Ist da tatsächlich am plausibelsten, dass einfach die Infektiosität durch die Bindungsfähigkeit oder durch die höhere Viruslast zunimmt? Wie viel haben die beiden denn überhaupt gemeinsam? Trotzdem ist das die große Frage: Müssen wir denn nicht trotzdem möglicherweise mit Folgen für die Impfstoffe rechnen? Warum rechnet die Forschung erst mal noch nicht damit, dass die Impfstoffe betroffen sein könnten? Wie sinnvoll sind diese Gedankenspiele? Wie sinnvoll ist so eine richtige Änderung der Impfstrategie, wie sie in Großbritannien stattfindet? Ist da nicht ein gewisses Risiko dann da, weil die zweite Impfung ja schon noch nötig ist, um den Impfstoff zu verstärken, zu verlängern?Diese Bindungsreife, die Sie angesprochen haben, also wie gut die Antikörper an das Antigen des Virus binden, was für eine Risikolücke entsteht denn da möglicherweise trotzdem für die, die erst mal nur einmal geimpft werden, überhaupt zu erkranken? Wenn Sie das angucken, was unsere Modellierer alle in der Zwischenzeit veröffentlicht haben, halten Sie es denn für denkbar, dass wir jetzt vier Wochen oder sechs Wochen einen heftigen Lockdown haben und die Zahlen dann wirklich weit runterbringen? Sie hatten vorhin angesprochen, exponentielle Senkung ist ja auch denkbar.SENKT LOCKDOWN DIE ZAHLEN? Hat sich das geändert? Wie ist Ihr Eindruck jetzt, dass weite Teile der Wissenschaft wieder mehr Gehör finden?",KORINNA HENNIG,CHRISTIAN DROSTEN
83,71_Mehr Licht am Ende des Tunnels - Skript herunterladen.pdf,"Also wirken die Impfstoffe auch gegen die Varianten, die gerade so viel Aufmerksamkeit auf sich ziehen? Wodurch unterscheiden sich die beiden? Ist das Glas nun halbvoll oder halbleer? Und der Impfstoff bewirkt, dass nur die Außenhülle, das Erkennungsmerkmal des Virus, hergestellt wird.Eine einfache, aber sehr oft gestellte Frage: Nach einer Impfung fällt ein PCR-Test auch nicht falsch-positiv aus?Ich möchte trotzdem noch einmal nachfragen wegen der vielen Unsicherheiten: Warum ist die Forschung vergleichsweise sicher, dass die eingeschleuste Erbinformation nicht in der Zelle bleibt, auch nachdem die Boten-RNA aus dem Impfstoff abgebaut ist? Da gibt es immer wieder Menschen, die sagen: Ja, aber das kann doch in DNA umgeschrieben werden, also in das, was im Menschen vorkommt.Waren Sie selbst von Anfang an von diesem mRNA Impfstoff überzeugt? Oder hatten Sie Fragen, die sich erst jetzt mit den Zulassungsstudien ausreichend geklärt haben?Eine weiter sehr oft gestellte Frage, die wir immer wieder hören ist, auch wenn sie immer wieder thematisiert wurde: Warum ging das so schnell mit der Entwicklung? Gibt es da nicht doch Sollbruchstellen? Trotzdem noch einmal zur Verdeutlichung, dieses Überlappen der Phasen und auch dieses Rolling-Review-Verfahren, also schon im schwebenden Verfahren zu beurteilen, sozusagen, warum birgt das kein Risiko? Was für Daten gibt es da mittlerweile zu? Wie häufig tritt so was auf? Das steht jetzt aber gar nicht mehr zur Debatte, oder? Immunsupprimierte, wie sieht es bei denen aus? Ganz praktische Frage: Wenn jetzt in den Pflegeheimen geimpft wird, wenn es da einen Ausbruch gibt, wäre es dann nicht trotzdem sinnvoll, schnell alle Bewohner durchzuimpfen, damit sich das nicht ausbreitet? Oder macht man das mit Absicht nicht?IMPFSCHUTZ AUFBAUENUm eine lange Immunantwort zu erhalten, haben Sie gerade schon gesagt, ist das sowieso im Ganzen gesehen eine offene Frage: Wie lange hält Immunität an, auch nach überstandener Infektion? Die haben die Antikörper, die neutralisierenden, untersucht und die Immunzellen angeguckt.Können diese Anfangserkenntnisse zur Haltbarkeit der Immunantwort denn auch für die Impfstoffe Hoffnung machen? Frau Ciesek, nun wollen wir aber vor allem wissen, wie wirksam sind die beiden Impfstoffe auch gegen die Varianten, die jetzt in England und Südafrika entdeckt wurden, die besonders viele Mutationen aufweisen? Kann man daraus irgendetwas schließen?Korinna Hennig Vor allem, was passiert da eigentlich? Gibt es da Gemeinsamkeiten mit den beiden Varianten aus England und Südafrika? Wie ist das eigentlich hier? Halten Sie das auch für denkbar? Ist das die neue Variante, die sich da heftig verbreitet? Oder ist das noch im Bereich der Spekulation?",KORINNA HENNIG,SANDRA CIESEK
84,71_Mehr Licht am Ende des Tunnels.pdf,"Also wirken die Impfstoffe auch gegen die Varianten, die gerade so viel Aufmerksamkeit auf sich ziehen? Wodurch unterscheiden sich die beiden? Ist das Glas nun halbvoll oder halbleer? Und der Impfstoff bewirkt, dass nur die Außenhülle, das Erkennungsmerkmal des Virus, hergestellt wird.Eine einfache, aber sehr oft gestellte Frage: Nach einer Impfung fällt ein PCR-Test auch nicht falsch-positiv aus?Ich möchte trotzdem noch einmal nachfragen wegen der vielen Unsicherheiten: Warum ist die Forschung vergleichsweise sicher, dass die eingeschleuste Erbinformation nicht in der Zelle bleibt, auch nachdem die Boten-RNA aus dem Impfstoff abgebaut ist? Da gibt es immer wieder Menschen, die sagen: Ja, aber das kann doch in DNA umgeschrieben werden, also in das, was im Menschen vorkommt.Waren Sie selbst von Anfang an von diesem mRNA Impfstoff überzeugt? Oder hatten Sie Fragen, die sich erst jetzt mit den Zulassungsstudien ausreichend geklärt haben?Eine weiter sehr oft gestellte Frage, die wir immer wieder hören ist, auch wenn sie immer wieder thematisiert wurde: Warum ging das so schnell mit der Entwicklung? Gibt es da nicht doch Sollbruchstellen? Trotzdem noch einmal zur Verdeutlichung, dieses Überlappen der Phasen und auch dieses Rolling-Review-Verfahren, also schon im schwebenden Verfahren zu beurteilen, sozusagen, warum birgt das kein Risiko? Was für Daten gibt es da mittlerweile zu? Wie häufig tritt so was auf? Das steht jetzt aber gar nicht mehr zur Debatte, oder? Immunsupprimierte, wie sieht es bei denen aus? Ganz praktische Frage: Wenn jetzt in den Pflegeheimen geimpft wird, wenn es da einen Ausbruch gibt, wäre es dann nicht trotzdem sinnvoll, schnell alle Bewohner durchzuimpfen, damit sich das nicht ausbreitet? Oder macht man das mit Absicht nicht?IMPFSCHUTZ AUFBAUENUm eine lange Immunantwort zu erhalten, haben Sie gerade schon gesagt, ist das sowieso im Ganzen gesehen eine offene Frage: Wie lange hält Immunität an, auch nach überstandener Infektion? Die haben die Antikörper, die neutralisierenden, untersucht und die Immunzellen angeguckt.Können diese Anfangserkenntnisse zur Haltbarkeit der Immunantwort denn auch für die Impfstoffe Hoffnung machen? Frau Ciesek, nun wollen wir aber vor allem wissen, wie wirksam sind die beiden Impfstoffe auch gegen die Varianten, die jetzt in England und Südafrika entdeckt wurden, die besonders viele Mutationen aufweisen? Kann man daraus irgendetwas schließen?Korinna Hennig Vor allem, was passiert da eigentlich? Gibt es da Gemeinsamkeiten mit den beiden Varianten aus England und Südafrika? Wie ist das eigentlich hier? Halten Sie das auch für denkbar? Ist das die neue Variante, die sich da heftig verbreitet? Oder ist das noch im Bereich der Spekulation?",KORINNA HENNIG,SANDRA CIESEK
85,"72_Menschen, Maßnahmen, Mutationen - Skript herunterladen.pdf","Also, über eine Woche hinweg betrachtet: Wie viele Menschen pro 100.000 Einwohner haben sich durchschnittlich neu angesteckt? Kann man da vorsichtig optimistisch sein, dass sich jetzt endlich, endlich tatsächlich etwas bewegt?Ist denn der 7-Tage-Wert da noch aussagekräftig? Oder muss man versuchen, eher einen kürzeren Zeitraum anzugucken? Sehen Sie da auch noch viel Spielraum? Kann man das so verordnen? Ist das realistisch? Ist das denn aber auch machbar? Abgesehen von dem Anreiz.Was macht das Sequenzieren eigentlich so teuer? Was bedeutet das? Was können wir denn daraus ablesen für das, was die Mutante zum Beispiel für Deutschland bedeutet? Eine offene Frage ist noch, die virologisch beantwortet werden muss, was macht diese Variante tatsächlich so viel verbreitbarer? Ist sie übertragbarer als andere oder reicht die Immunantwort einfach nicht aus dagegen? Gibt es also tatsächlich da so ein Immunescape, ein ausweichendes Virus, das sich verändert, weil es unter Druck gerät? Wir müssen aber diese südafrikanische Variante auch für Europa weiter im Blick behalten.Aber können wir denn noch weiter dagegen animpfen?",KORINNA HENNIG,CHRISTIAN DROSTEN
86,"72_Menschen, Maßnahmen, Mutationen.pdf","Also, über eine Woche hinweg betrachtet: Wie viele Menschen pro 100.000 Einwohner haben sich durchschnittlich neu angesteckt? Kann man da vorsichtig optimistisch sein, dass sich jetzt endlich, endlich tatsächlich etwas bewegt?Ist denn der 7-Tage-Wert da noch aussagekräftig? Oder muss man versuchen, eher einen kürzeren Zeitraum anzugucken? Sehen Sie da auch noch viel Spielraum? Kann man das so verordnen? Ist das realistisch? Ist das denn aber auch machbar? Abgesehen von dem Anreiz.Was macht das Sequenzieren eigentlich so teuer? Was bedeutet das? Was können wir denn daraus ablesen für das, was die Mutante zum Beispiel für Deutschland bedeutet? Eine offene Frage ist noch, die virologisch beantwortet werden muss, was macht diese Variante tatsächlich so viel verbreitbarer? Ist sie übertragbarer als andere oder reicht die Immunantwort einfach nicht aus dagegen? Gibt es also tatsächlich da so ein Immunescape, ein ausweichendes Virus, das sich verändert, weil es unter Druck gerät? Wir müssen aber diese südafrikanische Variante auch für Europa weiter im Blick behalten.Aber können wir denn noch weiter dagegen animpfen?",KORINNA HENNIG,CHRISTIAN DROSTEN
